Nystatecounties,centralNY,Israel,JapanTokyo,KanagawaJapan,Tokyo,Peru,Mexico,Selangor,Perak,SultanHamad,Java,Memphis,HongKong
1,0,8,7,14,27,3,0,0,6,4,3,10,1
8,2,8,4,16,32,0,0,0,7,4,8,18,1
13,2,7,3,19,54,1,0,0,6,5,7,35,0
12,0,11,7,8,65,2,0,0,7,11,21,29,1
19,3,9,8,14,54,4,1,0,5,6,6,9,5
26,6,17,7,13,49,5,0,0,15,0,0,2,1
13,4,15,5,24,50,1,1,0,3,1,3,1,0
18,14,12,10,37,44,9,3,6,11,NA,NA,2,11
15,19,28,10,29,45,4,19,13,3,NA,NA,0,8
8,20,22,21,34,37,8,19,12,3,NA,NA,0,5
4,33,10,14,22,35,9,50,32,1,NA,NA,0,3
6,11,18,13,20,27,5,19,24,13,NA,NA,NA,4
17,10,19,11,9,16,5,33,11,10,NA,NA,NA,NA
35,9,15,9,3,40,3,33,3,7,NA,NA,NA,NA
35,4,15,16,1,42,1,19,2,3,NA,NA,NA,NA
45,3,10,9,1,65,2,37,0,1,NA,NA,NA,NA
30,6,19,23,2,52,1,24,0,0,NA,NA,NA,NA
29,8,19,20,3,70,0,8,1,4,NA,NA,NA,NA
23,7,7,27,8,49,0,6,3,0,NA,NA,NA,NA
16,8,21,21,12,42,0,3,1,0,NA,NA,NA,NA
14,8,13,17,9,19,0,5,0,1,NA,NA,NA,NA
12,13,4,23,3,20,0,3,1,0,NA,NA,NA,NA
11,7,8,19,3,22,0,1,0,0,NA,NA,NA,NA
9,2,3,24,1,15,1,2,0,0,NA,NA,NA,NA
4,4,5,17,0,13,0,NA,0,0,NA,NA,NA,NA
13,7,0,19,0,10,0,NA,NA,NA,NA,NA,NA,NA
3,7,5,26,2,21,0,NA,NA,NA,NA,NA,NA,NA
3,4,1,23,NA,23,0,NA,NA,NA,NA,NA,NA,NA
6,7,4,51,NA,21,0,NA,NA,NA,NA,NA,NA,NA
5,5,1,40,NA,26,0,NA,NA,NA,NA,NA,NA,NA
1,4,3,38,NA,31,0,NA,NA,NA,NA,NA,NA,NA
0,4,1,35,NA,25,0,NA,NA,NA,NA,NA,NA,NA
1,4,1,37,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
0,2,1,31,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
0,5,0,33,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
0,4,1,22,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
1,1,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
